Timestamp,Average Beta Amplitude
1719799905.107583,16.922089484353425
1719799964.6179929,45.625918588321575
1719800125.98706,27.081419572910097
1719800246.02559,137.80125027068866,61.740570068359375
1719800305.509592,81.38931684563879,59.39736008644104
1719800432.3186681,195.80780154156227,61.72602295875549
1719800491.823785,84.65990965546143,59.41932797431946
1719800551.339181,60.893594909724705,59.4246039390564
1719800610.857503,70.53907712180636,59.43209791183472
1719800670.373146,38.067798361780454,59.43113875389099
1719800729.893066,17.522847098099888,59.43050694465637
1719800789.409076,12.13829261211045,59.42839980125427
1719800848.923114,9.612379469462004,59.42490530014038
1719800908.4353962,15.226628255888983,59.423896074295044
1719800967.953523,5.7764141731318634,59.43477988243103
1719801027.4685462,118.51744029246754,59.43221998214722
1719801086.9915059,27.71121283855437,59.439754009246826
1719801146.4986858,40.046836612852495,59.423842906951904
1719801206.015014,72.06463791938616,59.43121790885925
1719801265.532041,22.898850419741958,59.43242597579956
1719801325.0466712,71.6518760996139,59.429646015167236
1719801384.561095,5.756324373442143,59.43016290664673
1719801444.0727959,87.24361601441923,59.42962884902954
1719801503.588704,108.3320669082733,59.4302978515625
1719801563.104537,69.28818465899501,59.43239402770996
