Timestamp, beta, alpha, Theta
1720065707.4378428,661.7719012236714,495.7929899502756,172.45564621525008
1720065826.381597,749.9148156080564,268.5546197277203,246.9724236455174
1720065945.3401291,723.527065972676,320.88348041059953,131.23676462189198
1720066064.311879,808.3067379902601,1033.4051590145828,748.8977726020049
1720066312.478891,568.453792617955,945.7475032624609,1240.9878569153414
1720066431.465726,482.76519418660206,576.4566281529183,246.4179529188924
1720066550.4310231,642.5799186349769,236.20599365950733,228.64570284553986
1720066669.379929,588.8676621233974,273.0740901265257,210.15668492008157
1720066788.323863,588.1433125494168,344.48946049752834,187.50897261193234
1720066907.263971,610.6800451383142,266.9549376370906,242.31460480032982
1720067026.2314901,569.1740118081193,321.1763812991389,196.06841606359683
1720067145.228448,388.309396591443,302.6245531891408,194.69340287388297
1720067264.18551,618.4499180914095,385.68197614911594,194.12862168560497
1720067383.137496,643.9708171460612,333.7121784488108,146.8491829995072
1720067502.089665,609.2124977268828,269.4078523091179,201.49768295244024
1720067621.03098,625.3191637032043,327.42419777785165,263.64699240858715
1720067739.974776,639.358149445776,250.43679139715147,191.2488672986907
1720067858.967326,798.4053761554718,913.5136981740764,204.92400200189837
1720067977.979001,1056.3472390546137,1006.5622215512891,308.22576351133625
1720068097.035402,593.7212603637316,745.9463092129279,902.3718098564008
1720068216.03999,431.95603791890056,310.1824339286627,162.73877152822988
1720068335.0391092,456.40147840011576,371.0484855093934,175.72211114434822
1720068453.969465,447.2914143172424,389.4269521576501,109.6014107708632
1720068572.9643981,418.4931299080694,489.9883094264273,125.99556066638921
1720068691.9541068,437.772852575428,221.56106281422294,140.0934965177197
1720068810.94859,383.2447123848971,269.0936676206217,194.28198336915497
1720068929.929318,486.97269137113204,255.45492879526904,157.95911243555366
1720069048.913952,481.16544703928594,239.9939014176105,197.76647934559975
