Timestamp,Average Beta Amplitude,Average Alpha Amplitude,Average Theta Amplitude
1719739198.432998,252.38987858810887,1024.5389498958248,575.0236328842519
1719739257.85312,163.7163177090332,76.19617152731941,168.6223236861459
1719739317.287225,227.8117516624967,375.0836676371746,532.2386472880908
1719741697.636856,242.89997631999782,786.3836461303536,285.9837462782507
1719741757.0371509,12720.11922168978,12536.651827904334,22341.774823440606
1719741816.534942,164.4753619588608,126.4542876103249,266.0397538306169
1719741875.965117,201.61985012313826,331.7791640926296,278.3806216537721
1719741935.351541,382.00327910268254,666.715510843938,222.4707211522851
1719798688.948682,131.19205978159414,195.40169632450736,184.40015812852906
1719798748.455511,494.83121705289284,100.55106217214482,500.57001826983503
1719798807.971781,434.22993996485707,655.1477026291312,482.25054480692603
1719798867.488244,139.17600545708342,231.82442028334583,372.39365905795285
1719798927.010231,69.3536633113205,134.85732063248545,195.377612445659
1719798986.528963,29.496972487094148,84.30831779619578,86.85035199447348
1719799046.047625,634.9882010860915,484.2775743937918,1096.393166733749
1719799105.563555,428.71894770833853,826.0690661037994,641.0664421331103
1719799165.082572,54.11306393540486,37.86145544294026,112.64985161602492
1719799224.598615,340.1908140395151,1016.3477928207463,1556.37754190248
1719799284.12524,186.71825217741434,587.7116858358437,962.1940829849052
1719799343.6364002,101.25875569100126,322.42989875054315,372.7378011061998
1719799505.30745,51.105426905932326,41.263942215512515,106.39292956416392
1719799624.277123,40.051036513423455,59.257434987747914,125.83750878039021
1719799743.310483,66.77211344343915,126.18758894282037,212.67574919539163
1720065707.4378428,661.7719012236714,495.7929899502756,172.45564621525008
1720065826.381597,749.9148156080564,268.5546197277203,246.9724236455174
1720065945.3401291,723.527065972676,320.88348041059953,131.23676462189198
1720066064.311879,808.3067379902601,1033.4051590145828,748.8977726020049
1720066312.478891,568.453792617955,945.7475032624609,1240.9878569153414
1720066431.465726,482.76519418660206,576.4566281529183,246.4179529188924
1720066550.4310231,642.5799186349769,236.20599365950733,228.64570284553986
1720066669.379929,588.8676621233974,273.0740901265257,210.15668492008157
1720066788.323863,588.1433125494168,344.48946049752834,187.50897261193234
1720066907.263971,610.6800451383142,266.9549376370906,242.31460480032982
1720067026.2314901,569.1740118081193,321.1763812991389,196.06841606359683
1720067145.228448,388.309396591443,302.6245531891408,194.69340287388297
1720067264.18551,618.4499180914095,385.68197614911594,194.12862168560497
1720067383.137496,643.9708171460612,333.7121784488108,146.8491829995072
1720067502.089665,609.2124977268828,269.4078523091179,201.49768295244024
1720067621.03098,625.3191637032043,327.42419777785165,263.64699240858715
1720067739.974776,639.358149445776,250.43679139715147,191.2488672986907
1720067858.967326,798.4053761554718,913.5136981740764,204.92400200189837
1720067977.979001,1056.3472390546137,1006.5622215512891,308.22576351133625
1720068097.035402,593.7212603637316,745.9463092129279,902.3718098564008
1720068216.03999,431.95603791890056,310.1824339286627,162.73877152822988
1720068335.0391092,456.40147840011576,371.0484855093934,175.72211114434822
1720068453.969465,447.2914143172424,389.4269521576501,109.6014107708632
1720068572.9643981,418.4931299080694,489.9883094264273,125.99556066638921
1720068691.9541068,437.772852575428,221.56106281422294,140.0934965177197
1720068810.94859,383.2447123848971,269.0936676206217,194.28198336915497
1720068929.929318,486.97269137113204,255.45492879526904,157.95911243555366
1720069048.913952,481.16544703928594,239.9939014176105,197.76647934559975
1720628687.7160268,67.16352579381139,67.25505959079914,174.2302134162295
