Timestamp,Average Beta Amplitude
1717453150.616653,9.776386862311925
1717453191.7192802,30.530195425754513
1717453232.843828,3032.7813036615285
1717453273.967581,21.316512175049834
1717453315.095724,9.279304501360995
1717453356.22034,10.275737748983135
1717453397.345406,21.139590506794725
1717453438.4716449,13.933883645441165
1717453479.596939,29.28853725524692
1717453520.7355,25.494950411515028
1717453561.852819,20.185034152514838
1717453602.984117,24.00677085770405
1717453644.105084,13.395031337540958
1717453685.230967,42.1036541872589
1717453726.358017,3890.432125915888
1717453767.462492,39.58367698134574
1717453808.56801,23.821171239497225
1717453849.673343,2498.210266814597
1717453890.779113,457.2896648570081
1717453931.884257,7.047303290972722
1717453972.987107,8.82312460520378
1717454014.082037,242.38022583058685
1717454055.186516,1316.14166509082
1717454096.292907,24.234412666005664
1717454137.400922,4141.501942530011
1717454178.4938712,3725.6265491836684
