Timestamp,Beta
1.5,0.014572222014598447
1.58,0.01290953515124202
1.66,0.012828604517719548
1.74,0.012711073436086913
1.82,0.014170788435694564
1.9,0.012355046800763226
1.98,0.010513150463918545
2.06,0.011858417877538921
2.14,0.014755736164706077
2.22,0.012807764451715317
2.3,0.012424901462999264
2.38,0.009000083912611475
2.46,0.010102258666687755
2.54,0.01260210408661137
2.62,0.010683409503577851
2.7,0.009023777302999648
2.78,0.008782337180199733
2.86,0.010588046324854687
2.94,0.0093291068841263
3.02,0.010772446013730116
3.1,0.009448192228799616
3.18,0.010259874490310251
3.26,0.010357351551891164
3.34,0.010749817866562629
3.42,0.012061544907979633
3.5,0.01318839484495472
3.59,0.014476720189622679
3.66,0.01589872037022957
3.74,0.018650595753849013
3.82,0.020335613028123353
3.9,0.0220711481266233
3.99,0.022422692010213657
4.06,0.022724211464652554
4.15,0.02739209461543799
4.22,0.027636494991145757
4.31,0.03087566714794645
4.38,0.03253398867333438
4.47,0.032551781774227094
